"Reference","Value","Footprint","Datasheet","QUANTITY"
"C1","220µF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","1"
"C2","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","1"
"C3","10µF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","1"
"C4","10µF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","1"
"D1","SS14","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf","1"
"D2","LED","LED_THT:LED_D3.0mm","","1"
"D3","SS14","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf","1"
"J1","PS1_Connector1","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","","1"
"J2","JP1 Autofire","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical","","1"
"J3","JP3 Palanca Direccional","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","1"
"J4","JP4 Botones Frontales","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","1"
"J5","JP5 Botones laterales","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","1"
"J6","JP6 Autofire","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical","","1"
"R1","10kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"R2","10kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"R3","10kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"R4","10kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"R5","10kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"R6","4.7kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"R7","4.7kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"R8","220Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"Select1","SW_Omron_B3FS","Button_Switch_THT:SW_SPST_Omron_B3F-50xx","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","1"
"Start1","SW_Omron_B3FS","Button_Switch_THT:SW_SPST_Omron_B3F-50xx","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","1"
"SW1","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW2","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW3","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW4","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW5","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW6","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW7","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW8","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW9","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"SW10","SW_SPDT","Button_Switch_THT:Untitled_1","","1"
"U1","","ESP32_Footprints:ESP32_30pin","","1"
"U2","LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","1"
