"Reference","Value","Footprint","Datasheet","QUANTITY"
"D1","LED","LED_THT:LED_D3.0mm","","1"
"J1","Conn_01x13","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical","","1"
"R1","220Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1"
"SW1","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW2","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW3","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW4","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW5","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW6","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW7","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW8","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW9","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
"SW10","SW_SPDT","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight","","1"
