sw,senal_af,boton,jp1_pin,gpio,funcion,notas
SW1,AF_L1,L1,7,GPIO27,Turbo L1,"SPDT: OFF=boton directo, ON=GND->Turbo"
SW2,AF_CRUZ,Cruz,8,GPIO25,Turbo Cruz,"SPDT: OFF=boton directo, ON=GND->Turbo"
SW3,AF_CIRCULO,Circulo,7,GPIO26,Turbo Circulo,"SPDT: OFF=boton directo, ON=GND->Turbo"
SW4,AF_L2,L2,10,GPIO32,Turbo L2,"SPDT: OFF=boton directo, ON=GND->Turbo"
SW5,AF_R1,R1,8,GPIO33,Turbo R1,"SPDT: OFF=boton directo, ON=GND->Turbo"
SW6,AF_CUADRADO,Cuadrado,4,GPIO12,Turbo Cuadrado,"SPDT: OFF=boton directo, ON=GND->Turbo"
SW7,AF_TRIANGULO,Triangulo,6,GPIO14,Turbo Triangulo,"SPDT: OFF=boton directo, ON=GND->Turbo"
SW8,AF_R2,R2,3,GPIO13,Turbo R2,"SPDT: OFF=boton directo, ON=GND->Turbo"
SW9,AF_MODE,MODE,2,GPIO15,Modo AF global,Reservado para uso futuro
SW10,BATT_FROM_TP,,12,VIN,Encendido BT,ON=alimenta ESP32 desde bateria
