Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_D3.0mm",7.477165,-3.805512,180.000000,top
"J1","Conn_01x13","PinHeader_1x13_P2.54mm_Vertical",7.498031,-2.601575,-90.000000,top
"R1","220Ω","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",7.572441,-3.651969,120.000000,top
"SW1","SW_SPDT","Untitled_1",5.034055,-2.662205,0.000000,top
"SW2","SW_SPDT","Untitled_1",5.256890,-3.042323,0.000000,top
"SW3","SW_SPDT","Untitled_1",5.461614,-3.406496,0.000000,top
"SW4","SW_SPDT","Untitled_1",5.697835,-3.780512,0.000000,top
"SW5","SW_SPDT","Untitled_1",5.833268,-2.670079,0.000000,top
"SW6","SW_SPDT","Untitled_1",6.046260,-3.034449,0.000000,top
"SW7","SW_SPDT","Untitled_1",6.252953,-3.406496,0.000000,top
"SW8","SW_SPDT","Untitled_1",6.485236,-3.778543,0.000000,top
"SW9","SW_SPDT","Untitled_1",7.126967,-3.201517,-60.000000,top
"SW10","SW_SPDT","Untitled_1",7.596472,-3.197867,-60.000000,top
