Ref,Value,Side
C1,220uF,bottom
C3,10uF,bottom
C4,10uF,bottom
D1,SS14,bottom
D3,SS14,bottom
J6,JP6_Autofire,bottom
JP1,SolderJumper_2_Open,bottom
JP2,SolderJumper_2_Open,bottom
JP3,SolderJumper_2_Open,bottom
R1,10k,bottom
R8,220R,bottom
Select1,SW_Omron_B3FS,bottom
Start1,SW_Omron_B3FS,bottom
C2,100nF,top
D2,LED,top
H1,TP4056,top
H2,TP4056,top
J1,PS1_Connector1,top
J2,JP1_Autofire,top
J3,JP3_Palanca_Direccional,top
J4,JP4_Botones_Frontales,top
J5,JP5_Botones_laterales,top
R2,10k,top
R3,10k,top
R4,10k,top
R5,10k,top
R6,4.7k,top
R7,4.7k,top
SW1,SW_SPDT,top
SW2,SW_SPDT,top
SW3,SW_SPDT,top
SW4,SW_SPDT,top
SW5,SW_SPDT,top
SW6,SW_SPDT,top
SW7,SW_SPDT,top
SW8,SW_SPDT,top
SW9,SW_SPDT,top
SW10,SW_SPDT,top
U1,ESP32_30pin,top
U2,LD1117S33TR_SOT223,top
